title, artist, album, length
Fire, Colour Haze, Tempel, 348
Mind, Colour Haze, Tempel, 182
Tempel, Colour Haze, Tempel, 511
Gold & Silver, Colour Haze, Tempel, 398
Earth, Colour Haze, Tempel, 242
Ozean, Colour Haze, Tempel, 271
Stratofarm, Colour Haze,Tempel, 419
The Grudge, Tool, Lateralus, 516
Eon Blue Apocalypse, Tool, Lateralus, 67
The Patient, Tool, Lateralus, 433
Mantra, Tool, Lateralus, 74
Schism, Tool, Lateralus, 406
Parabol, Tool, Lateralus, 186
Parabola, Tool, Lateralus, 365
Ticks & Leeches, Tool, Lateralus, 488
Lateralus, Tool, Lateralus, 564
Disposition, Tool, Lateralus, 288
Reflection, Tool, Lateralus, 670
Triad, Tool, Lateralus, 526
Faaip de Oiad, Tool, Lateralus, 160
Blew, Nirvana, Bleach, 175
Floyd the Barber, Nirvana, Bleach, 138
About a Girl, Nirvana, Bleach, 168
School, Nirvana, Bleach, 162
Love Buzz, Nirvana, Bleach, 215
Paper Cuts, Nirvana, Bleach, 246
Negative Creep, Nirvana, Bleach, 176
Scoff, Nirvana, Bleach, 250
Swap Meet, Nirvana, Bleach, 183
Mr. Moustache, Nirvana, Bleach, 204
Sifting, Nirvana, Bleach, 322
Big Cheese, Nirvana, Bleach, 222
Downer, Nirvana, Bleach, 104
In Bloom, Nirvana, Nevermind, 255
Come as You Are, Nirvana, Nevermind, 219
Breed, Nirvana, Nevermind, 184
Lithium, Nirvana, Nevermind, 257
Polly, Nirvana, Nevermind, 177
Territorial Pissings, Nirvana, Nevermind, 203
Drain You, Nirvana, Nevermind, 224
Lounge Act, Nirvana, Nevermind, 157
Stay Away, Nirvana, Nevermind, 213
On a Plain, Nirvana, Nevermind, 196
Something in the Way, Nirvana, Nevermind, 185
Serve the Servants, Nirvana, In Utero, 216
Scentless Apprentice, Nirvana, In Utero, 228
Heart-Shaped Box, Nirvana, In Utero, 281
Rape Me, Nirvana, In Utero, 170
Dumb, Nirvana, In Utero, 152
Very Ape, Nirvana, In Utero, 116
Milk It, Nirvana, In Utero, 235
tourett's, Nirvana, In Utero, 95
All Apologies, Nirvana, In Utero, 230
Exoplanet, Mother Engine, Muttermaschine, 435
Truemmer, Mother Engine, Muttermaschine, 289
Ruettelplatte, Mother Engine, Muttermaschine, 203
Brett Hart, Mother Engine, Muttermaschine, 236
Nemesis, Mother Engine, Muttermaschine, 450
Mantra, Mother Engine, Muttermaschine, 523
Weltraumwolf, Mother Engine, Muttermaschine, 709
Untitled, Mother Engine, Muttermaschine, 183
Once, Pearl Jam, Ten, 232
Even Flow, Pearl Jam, Ten, 293
Alive, Pearl Jam, Ten, 341
Why Go, Pearl Jam, Ten, 200
Jeremy, Pearl Jam, Ten, 319
Oceans, Pearl Jam, Ten, 222
Porch, Pearl Jam, Ten, 211
Garden, Pearl Jam, Ten, 299
Deep, Pearl Jam, Ten, 258
Release, Pearl Jam, Ten, 543
